Tijdstempel,"Welke sexe ben je?
(Which sex are you?)","Welk niveau opleiding doe je?
(What level of study are you doing?)","In welk jaar zit je?
(In what year are you?)","In welk vakgebied studeer je?
(What field do you study in?)","Wat is jouw huidige woonsituatie?
(What is your current living situation?)","In welke stad studeer je?
(In which city do you study?)","Ben je een nationale- of internationale student?
(Are you a national or international student?)","Ben je gelovig?
(do you believe in a religion?)","Heb je op dit moment een relatie?
(Are you currently in a relationship?)","Hoe gelukkig voel je je nu? 
(How happy are you right now?)","Ben je gelukkig met je fysieke gesteldheid?
(Are you happy with your physical health?)","Hoe belangrijk is je (fysieke-) gezondheid voor je geluk? 
(How important is your physical health for your happiness?)","Hoe belangrijk is contact buiten school met andere voor jouw geluk? 
(How important is contact with people outside of school for you?)","Ik vind het belangrijk om buitenschool sociale activiteiten te doen. 
(I find it important to do social activity's outside of school.)","Ik heb een goede relatie met mijn ouders. 
(I have a good relationship with my parents.)","Ik ben gelukkig met mijn woonsituatie. 
(I am happy with my living situation.)","Ik voel me thuis in de stad waar ik woon. 
(I feel at home in the city where I live.)","Mijn academische prestaties hebben veel invloed op hoe gelukkig ik ben. 
(My academic achievements have a lot of influence on my happiness.)","Ik zit in een goede financiële situatie. 
(I am in a good financial situation.)","Geld is belangrijk voor mij om gelukkig te zijn.
(Money is important for me to be happy.)","Ik gebruik (verdovende-) middelen, Zoals wiet, alcohol of anders. 
(I use alcohol and/or drugs like weed.)","Deze middelen gebruik ik om mijzelf gelukkiger te maken. 
(I use the drugs/ alcohol to make me happier.)","Ik zit lekker in mijn vel. 
(I feel good mentally.)","Hoe gelukkig ben jij na deze enquête? 
(How do happy qre you after this questionaire?)"
15-5-2024 13:18:44,Man (Male),Universiteit (University) Bachelor,1e (1st),Economisch (Economical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),6,8,10,9,10,8,7,8,8,10,7,Ja (Yes),2,7,5
15-5-2024 13:20:02,Vrouw (Female),Masters,2e (2nd),Sociaal (Social),Uitwonend (Away from home),Groningen,Internationaal (International),Nee (No),Ja (Yes),5,8,7,8,9,6,2,7,6,7,6,Nee (No),0,7,7
15-5-2024 13:20:20,Vrouw (Female),Universiteit (University) Bachelor,3e (3rd),Economisch (Economical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),8,6,8,9,9,8,9,8,6,8,7,Nee (No),0,7,8
15-5-2024 13:34:25,Vrouw (Female),Universiteit (University) Bachelor,2e (2nd),Anders (Other),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),5,5,7,9,8,7,7,6,7,6,4,Nee (No),2,4,5
15-5-2024 13:40:18,Anders (Other),MBO,1e (1st),Kunst (Art),Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Nee (No),3,3,7,10,10,5,2,5,5,5,5,Ja (Yes),10,0,0
15-5-2024 13:55:07,Man (Male),Masters,1e (1st),Technisch (Technical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),9,8,8,10,9,10,10,10,8,9,9,Ja (Yes),4,8,9
15-5-2024 14:12:17,Man (Male),Masters,3e (3rd),Sociaal (Social),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),9,8,7,9,10,4,8,9,4,9,7,Ja (Yes),1,9,9
15-5-2024 14:17:15,Man (Male),HBO,1e (1st),Economisch (Economical),Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),5,4,8,8,5,7,6,6,7,6,8,Ja (Yes),0,3,3
15-5-2024 14:26:18,Man (Male),HBO,1e (1st),Anders (Other),Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),6,5,7,9,8,9,8,8,6,2,5,Ja (Yes),4,6,6
15-5-2024 14:30:17,Vrouw (Female),Universiteit (University) Bachelor,3e (3rd),Sociaal (Social),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),6,7,5,8,7,9,6,8,4,6,4,Ja (Yes),5,7,7
15-5-2024 14:53:51,Man (Male),Universiteit (University) Bachelor,3e (3rd),Technisch (Technical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),10,10,10,7,5,10,10,8,6,10,8,Nee (No),0,10,10
15-5-2024 15:00:12,Vrouw (Female),MBO,2e (2nd),Anders (Other),Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),6,4,8,9,8,6,7,6,7,7,4,Nee (No),0,6,6
15-5-2024 15:15:37,Anders (Other),MBO,2e (2nd),Kunst (Art),Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,5,6,8,8,9,8,4,3,6,4,Nee (No),0,6,7
15-5-2024 16:35:08,Vrouw (Female),HBO,2e (2nd),Technisch (Technical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),9,7,7,8,9,10,10,10,10,6,8,Ja (Yes),2,8,8
15-5-2024 17:23:58,Man (Male),HBO,2e (2nd),Technisch (Technical),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),4,4,8,7,7,9,7,7,8,5,7,Ja (Yes),3,4,5
15-5-2024 17:37:02,Vrouw (Female),Masters,1e (1st),Sociaal (Social),Uitwonend (Away from home),Groningen,Internationaal (International),Nee (No),Nee (No),8,8,10,10,10,7,9,9,7,7,5,Ja (Yes),0,8,8
16-5-2024 8:09:59,Vrouw (Female),Universiteit (University) Bachelor,1e (1st),Anders (Other),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),10,10,8,10,10,10,7,5,4,8,8,Ja (Yes),6,9,8
16-5-2024 15:29:38,Vrouw (Female),HBO,3e (3rd),Anders (Other),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),5,3,9,10,10,7,4,9,5,5,7,Ja (Yes),6,4,5
18-5-2024 17:12:51,Man (Male),Masters,1e (1st),Technisch (Technical),Uitwonend (Away from home),Amsterdam,Nationaal (National),Nee (No),Nee (No),8,7,9,9,9,8,8,10,7,8,6,Ja (Yes),6,8,8
22-5-2024 12:00:46,Man (Male),HBO,1e (1st),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),5,6,10,6,6,10,0,6,7,6,6,Ja (Yes),2,6,5
22-5-2024 14:38:21,Man (Male),Masters,1e (1st),Anders (Other),Uitwonend (Away from home),Leiden,Nationaal (National),Nee (No),Nee (No),8,7,6,9,8,8,7,8,4,7,6,Ja (Yes),5,7,8
22-5-2024 16:23:40,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),8,9,9,7,7,7,6,7,9,8,9,Ja (Yes),4,7,7
24-5-2024 16:57:00,Man (Male),Universiteit (University) Bachelor,3e (3rd),Technisch (Technical),Thuiswonend (At home),Amsterdam,Nationaal (National),Nee (No),Nee (No),9,10,8,7,7,10,8,10,9,9,5,Ja (Yes),2,10,9
28-5-2024 16:52:48,Man (Male),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),5,5,7,8,4,7,8,8,7,8,6,Nee (No),0,5,6
28-5-2024 16:53:24,Vrouw (Female),HBO,2e (2nd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),6,4,2,8,8,4,7,10,3,6,2,Ja (Yes),8,5,6
28-5-2024 16:53:26,Vrouw (Female),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,7,9,9,8,7,7,8,8,9,7,Ja (Yes),7,7,8
28-5-2024 16:54:33,Vrouw (Female),HBO,4e (4th),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),8,8,8,8,8,8,8,7,7,7,6,Ja (Yes),2,8,5
28-5-2024 16:57:02,Man (Male),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),0,8,8,6,0,5,0,0,10,0,10,Ja (Yes),0,4,5
28-5-2024 16:59:10,Vrouw (Female),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Ja (Yes),8,6,7,8,9,10,10,10,8,8,7,Ja (Yes),1,8,7
28-5-2024 16:59:28,Vrouw (Female),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,7,8,8,7,10,5,8,9,5,7,Ja (Yes),1,6,7
28-5-2024 17:02:56,Vrouw (Female),HBO,4e (4th),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Ja (Yes),Ja (Yes),8,5,10,8,8,10,10,9,9,3,7,Nee (No),0,6,6
28-5-2024 17:04:04,Vrouw (Female),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),8,6,8,8,7,9,9,9,9,9,7,Nee (No),0,8,8
28-5-2024 17:04:35,Vrouw (Female),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,5,8,8,6,6,8,8,6,7,7,Nee (No),1,5,4
28-5-2024 17:07:24,Vrouw (Female),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,7,9,9,7,9,8,6,7,8,6,Nee (No),2,7,7
28-5-2024 17:16:21,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,7,6,9,9,7,8,10,4,3,6,Ja (Yes),2,7,7
28-5-2024 17:31:19,Vrouw (Female),HBO,1e (1st),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),7,4,6,7,8,6,7,9,4,6,5,Ja (Yes),2,8,0
28-5-2024 17:36:50,Vrouw (Female),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Nee (No),7,6,9,6,10,9,9,10,6,7,4,Nee (No),0,5,8
28-5-2024 17:37:07,Vrouw (Female),HBO,3e (3rd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Ja (Yes),6,8,8,10,10,8,8,8,7,9,5,Ja (Yes),0,6,6
28-5-2024 17:54:36,Vrouw (Female),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,5,10,7,7,8,6,5,8,7,6,Nee (No),0,9,7
28-5-2024 18:00:51,Vrouw (Female),HBO,3e (3rd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),7,8,9,10,4,10,6,3,8,6,6,Nee (No),0,7,7
28-5-2024 18:01:10,Vrouw (Female),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),6,6,8,5,4,5,8,6,5,7,9,Ja (Yes),3,7,5
28-5-2024 18:06:11,Vrouw (Female),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,4,7,7,10,8,8,8,6,7,7,Ja (Yes),0,5,6
28-5-2024 18:38:47,Man (Male),HBO,2e (2nd),Technisch (Technical),Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),4,3,7,7,7,5,5,4,4,6,7,Ja (Yes),0,6,2
28-5-2024 19:03:31,Man (Male),HBO,3e (3rd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),8,9,9,9,10,10,7,10,3,8,7,Ja (Yes),0,10,8
28-5-2024 19:04:31,Vrouw (Female),HBO,3e (3rd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,6,9,7,7,5,8,10,10,3,8,Ja (Yes),0,7,6
28-5-2024 19:10:00,Man (Male),HBO,3e (3rd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),7,7,9,7,9,7,7,10,7,4,6,Nee (No),0,8,7
28-5-2024 19:23:37,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,4,2,8,5,3,6,8,7,7,5,Ja (Yes),0,6,7
28-5-2024 19:32:01,Vrouw (Female),HBO,2e (2nd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),8,6,6,7,8,9,10,10,8,10,6,Ja (Yes),0,8,8
28-5-2024 19:49:25,Vrouw (Female),Masters,2e (2nd),Anders (Other),Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,3,8,9,9,6,8,9,9,9,7,Ja (Yes),0,1,6
28-5-2024 20:17:07,Man (Male),HBO,3e (3rd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Nee (No),8,9,7,9,9,5,4,8,5,9,6,Nee (No),5,8,5
28-5-2024 20:29:26,Vrouw (Female),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),5,4,7,7,7,7,6,7,9,4,7,Nee (No),0,4,4
28-5-2024 21:39:10,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),6,4,8,7,9,4,5,7,9,7,6,Nee (No),0,3,5
29-5-2024 0:52:34,Vrouw (Female),HBO,2e (2nd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,6,10,10,10,9,9,10,10,5,7,Ja (Yes),5,6,6
29-5-2024 11:08:41,Vrouw (Female),HBO,2e (2nd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Ja (Yes),6,6,9,8,8,8,7,8,7,6,6,Ja (Yes),1,5,5
29-5-2024 12:24:57,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),8,8,8,8,8,8,6,0,6,6,4,Nee (No),0,8,7
29-5-2024 12:29:16,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),6,5,3,3,7,7,6,6,8,8,8,Ja (Yes),0,6,6
29-5-2024 12:59:34,Man (Male),HBO,1e (1st),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),4,6,6,9,8,9,9,9,6,4,8,Nee (No),0,4,6
29-5-2024 13:26:21,Man (Male),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Ja (Yes),7,8,9,9,6,4,4,6,8,5,7,Ja (Yes),5,5,4
29-5-2024 13:43:27,Man (Male),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),7,5,5,8,8,9,8,7,6,8,6,Ja (Yes),1,8,7
29-5-2024 14:42:02,Man (Male),HBO,2e (2nd),Lifesciences,Uitwonend (Away from home),Groningen,Nationaal (National),Nee (No),Nee (No),7,8,7,9,9,5,7,10,7,7,6,Ja (Yes),5,7,6
29-5-2024 15:08:57,Anders (Other),Masters,2e (2nd),Economisch (Economical),Uitwonend (Away from home),Amsterdam,Nationaal (National),Ja (Yes),Ja (Yes),3,5,4,8,9,0,6,7,10,7,8,Ja (Yes),7,6,7
29-5-2024 16:03:33,Vrouw (Female),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Nee (No),6,5,8,8,7,6,5,7,9,6,7,Nee (No),0,5,6
29-5-2024 21:22:07,Vrouw (Female),HBO,3e (3rd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),2,4,7,7,6,6,6,5,8,5,8,Ja (Yes),6,2,2
30-5-2024 9:00:59,Man (Male),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),8,5,3,7,7,10,10,10,8,10,3,Ja (Yes),1,8,8
30-5-2024 10:45:48,Vrouw (Female),HBO,2e (2nd),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Nee (No),Nee (No),5,2,9,9,9,6,3,8,6,0,7,Nee (No),0,4,3
30-5-2024 12:03:18,Man (Male),HBO,4e (4th),Lifesciences,Thuiswonend (At home),Groningen,Nationaal (National),Ja (Yes),Ja (Yes),8,7,8,7,7,9,8,7,5,8,6,Nee (No),0,7,5
